metric,mechanism,rate,method_a,method_b,statistic,raw_p,adjusted_p,rank_biserial,significance_indicator,n_effective
nrmse,MCAR,0.1,KNN,Mean/Mode,14.0,0.640625,1.0,-0.2222222222222222,,8
nrmse,MCAR,0.1,KNN,MICE,0.0,0.0078125,0.046875,1.0,*,8
nrmse,MCAR,0.1,KNN,RF-iterative,8.0,0.1953125,1.0,0.5555555555555556,,8
nrmse,MCAR,0.1,Mean/Mode,MICE,0.0,0.0078125,0.046875,1.0,*,8
nrmse,MCAR,0.1,Mean/Mode,RF-iterative,8.0,0.1953125,1.0,0.5555555555555556,,8
nrmse,MCAR,0.1,MICE,RF-iterative,8.0,0.1953125,1.0,-0.5555555555555556,,8
nrmse,MCAR,0.2,KNN,Mean/Mode,8.0,0.1953125,1.0,-0.5555555555555556,,8
nrmse,MCAR,0.2,KNN,MICE,0.0,0.0078125,0.046875,1.0,*,8
nrmse,MCAR,0.2,KNN,RF-iterative,10.0,0.3125,1.0,0.4444444444444444,,8
nrmse,MCAR,0.2,Mean/Mode,MICE,0.0,0.0078125,0.046875,1.0,*,8
nrmse,MCAR,0.2,Mean/Mode,RF-iterative,2.0,0.0234375,0.140625,0.8888888888888888,,8
nrmse,MCAR,0.2,MICE,RF-iterative,2.0,0.0234375,0.140625,-0.8888888888888888,,8
pfc,MCAR,0.2,KNN,Mean/Mode,0.0,0.0078125,0.046875,1.0,*,8
pfc,MCAR,0.2,KNN,MICE,2.5,0.03125,0.1875,-0.8611111111111112,,8
pfc,MCAR,0.2,KNN,RF-iterative,15.0,0.7421875,1.0,-0.16666666666666666,,8
pfc,MCAR,0.2,Mean/Mode,MICE,0.0,0.0078125,0.046875,-1.0,*,8
pfc,MCAR,0.2,Mean/Mode,RF-iterative,0.0,0.0078125,0.046875,-1.0,*,8
pfc,MCAR,0.2,MICE,RF-iterative,8.0,0.1953125,1.0,0.5555555555555556,,8
pfc,MCAR,0.3,KNN,Mean/Mode,0.0,0.0078125,0.046875,1.0,*,8
pfc,MCAR,0.3,KNN,MICE,1.0,0.015625,0.09375,-0.9444444444444444,,8
pfc,MCAR,0.3,KNN,RF-iterative,14.0,0.640625,1.0,0.2222222222222222,,8
pfc,MCAR,0.3,Mean/Mode,MICE,0.0,0.0078125,0.046875,-1.0,*,8
pfc,MCAR,0.3,Mean/Mode,RF-iterative,0.0,0.0078125,0.046875,-1.0,*,8
pfc,MCAR,0.3,MICE,RF-iterative,3.0,0.0390625,0.234375,0.8333333333333334,,8
nrmse,MAR,0.1,KNN,Mean/Mode,14.0,0.640625,1.0,-0.2222222222222222,,8
nrmse,MAR,0.1,KNN,MICE,3.0,0.0390625,0.234375,0.8333333333333334,,8
nrmse,MAR,0.1,KNN,RF-iterative,13.0,0.546875,1.0,0.2777777777777778,,8
nrmse,MAR,0.1,Mean/Mode,MICE,0.0,0.0078125,0.046875,1.0,*,8
