mechanism,rate,metric,chi_square,p,kendalls_w
MCAR,0.1,nrmse,13.349999999999994,0.003937721160563021,0.5562499999999998
MCAR,0.1,pfc,4.378378378378375,0.22339860701322498,0.18243243243243232
MCAR,0.2,nrmse,16.650000000000006,0.0008340749746369889,0.6937500000000002
MCAR,0.2,pfc,16.799999999999983,0.000776928949059415,0.6999999999999993
MCAR,0.3,nrmse,5.699999999999989,0.12715390640096141,0.23749999999999952
MCAR,0.3,pfc,17.549999999999983,0.0005445733514610025,0.7312499999999993
MAR,0.1,nrmse,10.5,0.014760897143990676,0.4375
MAR,0.1,pfc,13.441558441558442,0.003772803183185172,0.560064935064935
MAR,0.2,nrmse,13.5,0.003671131797155749,0.5625
MAR,0.2,pfc,17.549999999999983,0.0005445733514610025,0.7312499999999993
MAR,0.3,nrmse,15.0,0.0018166489665723223,0.625
MAR,0.3,pfc,17.25,0.0006278077597895142,0.71875
MNAR,0.1,nrmse,21.75,7.352933316053913e-05,0.90625
MNAR,0.1,pfc,20.69999999999999,0.00012151040342188878,0.8624999999999995
MNAR,0.2,nrmse,20.25,0.0001506490162116094,0.84375
MNAR,0.2,pfc,22.94999999999999,4.1363773434623926e-05,0.9562499999999995
MNAR,0.3,nrmse,22.94999999999999,4.1363773434623926e-05,0.9562499999999995
MNAR,0.3,pfc,23.538461538461526,3.118271175611762e-05,0.9807692307692303
